City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,77.0,few clouds,-21.2078,-159.775,Paradise Inn
3,Buraydah,SA,84.2,clear sky,26.326,43.975,فندق راحة السلام
14,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
17,Atuona,PF,80.4,light rain,-9.8,-139.0333,Villa Enata
34,Beira,MZ,78.8,few clouds,-19.8436,34.8389,Beira Terrace Hotel
35,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
37,Rikitea,PF,78.33,clear sky,-23.1203,-134.9692,Pension Maro'i
40,Morondava,MG,80.28,broken clouds,-20.2833,44.2833,La Case Bambou
50,Vanimo,PG,76.71,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
52,Castro,BR,78.62,clear sky,-24.7911,-50.0119,CHACARA BAILLY
56,Bubaque,GW,77.74,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
57,Labelle,US,89.01,scattered clouds,26.7617,-81.4384,Port LaBelle Inn
58,Porto Novo,BJ,86.0,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
63,Cidreira,BR,82.71,overcast clouds,-30.1811,-50.2056,Hotel Castelo
65,Georgetown,MY,80.01,moderate rain,5.4112,100.3354,Cititel Penang
67,Karratha,AU,83.44,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
69,West Bay,KY,87.8,scattered clouds,19.3667,-81.4167,Calypso Cove
72,Puerto Ayora,EC,79.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,Kavieng,PG,78.19,light rain,-2.5744,150.7967,Nusa Island Retreat
80,Katubao,PH,80.02,overcast clouds,5.8892,124.8294,IML Ecopark
81,Suba,PH,83.32,overcast clouds,10.8438,121.0102,Casita Bed and Grill
83,Bathsheba,BB,80.6,volcanic ash,13.2167,-59.5167,Atlantis Hotel
93,Jizan,SA,87.8,clear sky,17.3333,42.6667,شهدان. ابوالحجر
94,Sembe,CG,80.6,light rain,1.6481,14.5806,
98,Ambanja,MG,76.39,light rain,-13.6833,48.45,Hotel Salama and Fast Food
104,San Patricio,US,82.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
107,Vila Velha,BR,82.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
115,Kadiri,IN,80.64,clear sky,14.1167,78.1667,Railway Guest House
116,Kavaratti,IN,83.1,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
119,Sao Joao Da Barra,BR,86.0,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
121,Lorengau,PG,80.29,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
125,Bengkulu,ID,76.66,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
128,Manta,EC,84.2,scattered clouds,-0.95,-80.7333,Balandra Hotel
136,Arraial Do Cabo,BR,84.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
139,Sechura,PE,79.07,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
