City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pangnirtung,CA,66.1451,-65.7125,17.6,79,90,2.42,overcast clouds
1,Avera,US,33.194,-82.5271,73.4,78,1,8.05,clear sky
2,Northam,GB,51.0333,-4.2167,46.0,71,38,11.99,scattered clouds
3,Bluff,NZ,-46.6,168.3333,55.99,93,98,3.0,overcast clouds
4,Hermanus,ZA,-34.4187,19.2345,64.99,83,100,3.56,overcast clouds
5,Gejiu,CN,23.306,103.1635,51.71,93,52,6.02,broken clouds
6,Sinnamary,GF,5.3833,-52.95,82.45,72,53,5.79,broken clouds
7,Faanui,PF,-16.4833,-151.75,81.7,74,97,9.73,overcast clouds
8,Ancud,CL,-41.8697,-73.8203,57.99,82,75,9.22,broken clouds
9,Kapaa,US,22.0752,-159.319,66.2,88,90,11.5,overcast clouds
10,Victoria,HK,22.2855,114.1577,72.0,78,11,1.01,few clouds
11,Cape Town,ZA,-33.9258,18.4232,70.0,77,0,12.66,clear sky
12,Khatanga,RU,71.9667,102.5,2.01,90,98,6.53,overcast clouds
13,Jamestown,US,42.097,-79.2353,73.99,55,1,8.05,clear sky
14,Thompson,CA,55.7435,-97.8558,30.2,80,90,5.75,overcast clouds
15,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,41,1,17.27,clear sky
16,Atuona,PF,-9.8,-139.0333,80.4,77,75,18.72,light rain
17,Hobart,AU,-42.8794,147.3294,46.4,61,75,16.11,broken clouds
18,Rikitea,PF,-23.1203,-134.9692,78.33,72,2,9.35,clear sky
19,Mizdah,LY,31.4451,12.9801,66.85,31,89,18.34,overcast clouds
20,Saint George,US,37.1041,-113.5841,55.4,19,1,1.83,clear sky
21,Tasiilaq,GL,65.6145,-37.6368,28.4,74,75,4.61,broken clouds
22,Bari,IT,41.1177,16.8512,63.0,39,0,11.5,clear sky
23,New Norfolk,AU,-42.7826,147.0587,43.0,78,98,3.0,overcast clouds
24,Udachnyy,RU,66.4167,112.4,-16.17,100,14,6.2,few clouds
25,Ilulissat,GL,69.2167,-51.1,21.2,86,90,6.91,overcast clouds
26,Rae Bareli,IN,26.2167,81.2333,80.6,28,1,7.23,haze
27,Swellendam,ZA,-34.0226,20.4417,66.2,77,100,5.75,overcast clouds
28,Tuatapere,NZ,-46.1333,167.6833,55.99,93,100,3.0,overcast clouds
29,Geraldton,AU,-28.7667,114.6,78.8,41,90,24.16,overcast clouds
30,Poum,NC,-20.2333,164.0167,79.07,84,95,12.24,overcast clouds
31,Lavrentiya,RU,65.5833,-171.0,-6.74,87,100,12.66,overcast clouds
32,Provideniya,RU,64.3833,-173.3,-1.66,86,100,21.03,overcast clouds
33,Hamilton,US,39.1834,-84.5333,69.8,60,75,11.5,moderate rain
34,Port Alfred,ZA,-33.5906,26.891,69.19,91,95,7.18,overcast clouds
35,Punta Arenas,CL,-53.15,-70.9167,55.4,62,40,23.02,scattered clouds
36,Fonte Boa,BR,-2.4959,-66.2662,86.27,64,100,2.62,overcast clouds
37,Hithadhoo,MV,-0.6,73.0833,83.75,68,95,11.83,overcast clouds
38,Busselton,AU,-33.65,115.3333,66.99,60,100,3.0,overcast clouds
39,Ocampo,MX,21.65,-101.5,74.14,11,0,11.05,clear sky
40,Vanavara,RU,60.34,102.2797,4.03,96,14,1.54,few clouds
41,Kirakira,SB,-10.4544,161.9205,78.84,85,100,4.27,overcast clouds
42,Tual,ID,-5.6667,132.75,82.94,71,100,8.37,overcast clouds
43,Kavieng,PG,-2.5744,150.7967,78.19,87,100,12.19,light rain
44,Hirara,JP,24.8,125.2833,72.45,73,21,20.71,few clouds
45,Chabahar,IR,25.2919,60.643,78.51,77,0,4.29,clear sky
46,Keuruu,FI,62.2667,24.7,37.0,87,20,10.36,few clouds
47,Kamina,CD,-8.7386,24.9906,62.38,98,100,5.32,light rain
48,Acapulco,MX,16.8634,-99.8901,84.2,61,1,5.75,clear sky
49,Kaitangata,NZ,-46.2817,169.8464,59.0,71,100,3.0,light rain
50,Karasburg,NA,-28.0167,18.75,85.28,18,0,8.48,clear sky
51,Hambantota,LK,6.1241,81.1185,80.76,72,5,3.24,clear sky
52,Bengkulu,ID,-3.8004,102.2655,76.66,89,100,4.09,overcast clouds
53,Odesskoye,RU,54.2111,72.9651,29.59,96,40,7.14,scattered clouds
54,Rawicz,PL,51.6095,16.8585,50.0,64,100,3.0,overcast clouds
55,Barrow,US,71.2906,-156.7887,-16.6,76,1,6.91,clear sky
56,Ketchikan,US,55.3422,-131.6461,33.8,100,90,4.61,overcast clouds
57,Torbay,CA,47.6666,-52.7314,33.01,100,90,20.71,snow
58,Lebu,CL,-37.6167,-73.65,57.72,69,6,13.18,clear sky
59,Hilo,US,19.7297,-155.09,66.2,82,90,8.05,overcast clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,69,75,6.91,broken clouds
61,Iracoubo,GF,5.4802,-53.2011,82.17,72,52,6.22,broken clouds
62,Noumea,NC,-22.2763,166.4572,78.01,83,75,12.66,moderate rain
63,Lebedinyy,RU,58.5167,125.5167,3.31,98,100,3.83,light snow
64,Dikson,RU,73.5069,80.5464,20.68,94,66,13.71,broken clouds
65,Chateauroux,FR,46.8167,1.7,57.2,72,90,9.22,overcast clouds
66,Mahebourg,MU,-20.4081,57.7,77.0,94,75,10.36,broken clouds
67,Bilibino,RU,68.0546,166.4372,-13.79,84,99,5.3,overcast clouds
68,Longyearbyen,SJ,78.2186,15.6401,24.8,63,75,21.85,broken clouds
69,Ushuaia,AR,-54.8,-68.3,53.6,54,75,11.5,broken clouds
70,Bredasdorp,ZA,-34.5322,20.0403,66.2,77,100,5.75,overcast clouds
71,Chongwe,ZM,-15.3292,28.682,64.17,67,50,4.92,scattered clouds
72,Peleduy,RU,59.6289,112.7406,-0.04,99,100,3.44,overcast clouds
73,Upernavik,GL,72.7868,-56.1549,19.51,83,100,9.91,overcast clouds
74,Vardo,NO,70.3705,31.1107,32.36,71,100,9.04,light snow
75,Albany,US,42.6001,-73.9662,72.0,42,0,1.99,clear sky
76,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.96,81,91,11.3,overcast clouds
77,Avarua,CK,-21.2078,-159.775,77.0,94,75,3.44,broken clouds
78,Kalemie,CD,-5.9475,29.1947,72.72,83,100,5.99,light rain
79,Bandarbeyla,SO,9.4942,50.8122,80.11,69,22,11.34,few clouds
80,Mataura,NZ,-46.1927,168.8643,55.99,92,97,1.99,overcast clouds
81,Saint-Philippe,RE,-21.3585,55.7679,82.4,65,90,3.44,light rain
82,Cabo San Lucas,MX,22.8909,-109.9124,75.99,68,40,4.61,scattered clouds
83,Cherskiy,RU,68.75,161.3,-24.99,94,99,1.99,overcast clouds
84,Camacha,PT,33.0833,-16.3333,68.0,77,40,11.5,scattered clouds
85,Aklavik,CA,68.2191,-135.0107,-16.6,69,75,8.05,broken clouds
86,Santa Vitoria,BR,-18.8386,-50.1214,88.25,28,0,7.58,clear sky
87,Coahuayana,MX,18.7333,-103.6833,80.6,39,1,6.04,clear sky
88,Yellowknife,CA,62.456,-114.3525,1.99,60,20,13.8,few clouds
89,Nokaneng,BW,-19.6667,22.2667,74.44,27,0,6.67,clear sky
